"Level 1 Sector","Level 2 Category","Level 3 Niche","Level 4 Sub-Niche","Level 5 Micro-Niche","Level 6 Content Example","Video Title"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reviews","Action Movie Review Article","Furiosa: A Mad Max Saga - Movie Review"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reviews","Sci-Fi Blockbuster Critique Post","Dune: Part Two - Movie Review"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reaction","Live Blockbuster Reaction Video","Avengers: Endgame - Live Reaction"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reaction","Post-Trailer Reaction Clip","Deadpool & Wolverine Trailer Reaction"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Explained","Indie Plot Breakdown Video","The Lighthouse - Explained"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Explained","Symbolism Explainer Short","Hereditary - Symbolism Explained"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Lists","Top 5 Indie Films Listicle","Top 5 Indie Movies You Missed"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Lists","Indie Gems Countdown Video","Top 10 Hidden Indie Gems"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Recap","Latest Episode Recap Post","House of the Dragon Season 2 Episode 1 Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Recap","Key Moments Summary Thread","The Boys Season 4 Episode 1 Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Vlogs","Episode Recap Vlog Entry","Stranger Things Season 4 Episode 1 Vlog Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Vlogs","Fan Reaction Recap Video","The Mandalorian Season 3 Episode 1 Fan Recap"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Highlight","Season’s Best Scenes Clip","Stranger Things Season 4 Best Moments"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Highlight","Top Character Moments Video","Breaking Bad Best Moments"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Montage","Season Highlight Reel","Game of Thrones Season 8 Montage"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Montage","Fan-Made Season Montage","The Witcher Season 2 Fan Montage"
"Entertainment","Comedy","Skits","Short-Form Sketches","Sketch","Quick Comedy Sketch Video","When You’re Late to Work"
"Entertainment","Comedy","Skits","Short-Form Sketches","Sketch","Parody Skit Reel","Star Wars Parody Sketch"
"Entertainment","Comedy","Skits","Short-Form Sketches","Challenges","Sketch Challenge Entry","Impression Challenge Sketch"
"Entertainment","Comedy","Skits","Short-Form Sketches","Challenges","Improv Skit Challenge Video","Improv Comedy Challenge"
"Entertainment","Comedy","Skits","Improv Scenes","Live","Live Improv Performance Stream","Whose Line Is It Anyway? - Live Improv"
"Entertainment","Comedy","Skits","Improv Scenes","Live","Improv Night Recording","Improv Night at UCB"
"Entertainment","Comedy","Skits","Improv Scenes","Behind-the-Scenes","Improv Rehearsal Footage","Improv Rehearsal BTS"
"Entertainment","Comedy","Skits","Improv Scenes","Behind-the-Scenes","Skit Prep BTS Video","SNL Skit Prep BTS"
"Entertainment","Comedy","Stand-Up","Live Routines","Live","Live Stand-Up Set Stream","Kevin Hart - Live Stand-Up 2023"
"Entertainment","Comedy","Stand-Up","Live Routines","Live","Comedy Club Performance Clip","Dave Chappelle - Live Clip"
"Entertainment","Comedy","Stand-Up","Live Routines","Rant","Stand-Up Rant on Trends","Bill Burr - Tech Rant"
"Entertainment","Comedy","Stand-Up","Live Routines","Rant","Topical Comedy Rant Video","John Oliver - Topical Rant"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Reviews","Comedy Special Review Post","Ali Wong Special Review"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Reviews","Stand-Up Special Critique","Hannah Gadsby - Nanette Review"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Podcasts","Comedy Special Recap Podcast","Netflix Is a Joke - Special Recap"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Podcasts","Behind-the-Special Audio Chat","Joe Rogan - Special BTS"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Reveal","New Pop Single Reveal Video","Miley Cyrus - Flowers Reveal"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Reveal","Pop Video Teaser Clip","Taylor Swift - Anti-Hero Teaser"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Montage","Pop Hits Montage Reel","2023 Pop Hits Montage"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Montage","Dance Video Compilation","Pop Dance Compilation"
"Entertainment","Music & Performance","Music Videos","Indie Clips","Showcase","Indie Artist Video Showcase","Tash Sultana - Jungle (Live Bedroom)"
"Entertainment","Music & Performance","Music Videos","Indie Clips","Showcase","Acoustic Clip Collection","Indie Acoustic Sessions"
"Entertainment","Music & Performance","Music Videos","Indie Clips","DIY","DIY Music Video Tutorial","DIY Music Video Guide"
"Entertainment","Music & Performance","Music Videos","Indie Clips","DIY","Home-Made Indie Video","Home-Made Indie MV"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Live","Live Concert Stream","Coldplay - Live from Buenos Aires"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Live","Festival Performance Broadcast","Lollapalooza 2023 Live"
